Date time,Wind (m/s),Tout (°C)
8. 01. 2019 15:20,0.27,1.5
8. 01. 2019 15:30,0.24,1.5
8. 01. 2019 15:40,0.24,1.4
8. 01. 2019 15:50,0.24,1.3
8. 01. 2019 16:00,0.24,1.1
8. 01. 2019 16:10,0.24,1
8. 01. 2019 16:20,0.22,1
8. 01. 2019 16:30,0.24,1
8. 01. 2019 16:40,0.21,0.9
8. 01. 2019 16:50,0.26,0.9
8. 01. 2019 17:00,0.28,0.9
8. 01. 2019 17:10,0.27,0.9
8. 01. 2019 17:20,0.27,0.8
8. 01. 2019 17:30,0.25,0.8
8. 01. 2019 17:40,0.29,0.7
8. 01. 2019 17:50,0.26,0.7
8. 01. 2019 18:00,0.25,0.8
8. 01. 2019 18:10,0.29,0.8
8. 01. 2019 18:20,0.3,0.9
8. 01. 2019 18:30,0.32,0.9
8. 01. 2019 18:40,0.3,0.7
8. 01. 2019 18:50,0.31,0.5
8. 01. 2019 19:00,0.31,0.3
8. 01. 2019 19:10,0.31,0
8. 01. 2019 19:20,0.32,-0.3
8. 01. 2019 19:30,0.31,-0.3
8. 01. 2019 19:40,0.3,-0.4
8. 01. 2019 19:50,0.3,-0.5
8. 01. 2019 20:00,0.32,-0.6
8. 01. 2019 20:10,0.3,-0.4
8. 01. 2019 20:20,0.29,-0.6
8. 01. 2019 20:30,0.28,-1.1
8. 01. 2019 20:40,0.3,-1.4
8. 01. 2019 20:50,0.32,-1.6
8. 01. 2019 21:00,0.33,-1.7
8. 01. 2019 21:10,0.3,-1.9
8. 01. 2019 21:20,0.35,-1.9
8. 01. 2019 21:30,0.37,-1.4
8. 01. 2019 21:40,0.3,-1.1
8. 01. 2019 21:50,0.32,-1.1
8. 01. 2019 22:00,0.33,-0.9
8. 01. 2019 22:10,0.33,-0.4
8. 01. 2019 22:20,0.34,-0.2
8. 01. 2019 22:30,0.34,-0.1
8. 01. 2019 22:40,0.32,-0.2
8. 01. 2019 22:50,0.33,-0.2
8. 01. 2019 23:00,0.33,-0.2
8. 01. 2019 23:10,0.36,-0.2
8. 01. 2019 23:20,0.36,0
8. 01. 2019 23:30,0.32,0.1
8. 01. 2019 23:40,0.35,0.1
8. 01. 2019 23:50,0.36,0
9. 01. 2019 00:00,0.36,-0.1
9. 01. 2019 00:10,0.34,0.1
9. 01. 2019 00:20,0.35,0.4
9. 01. 2019 00:30,0.37,0.4
9. 01. 2019 00:40,0.38,0.4
9. 01. 2019 00:50,0.4,0.3
9. 01. 2019 01:00,0.4,0.4
9. 01. 2019 01:10,0.38,0.5
9. 01. 2019 01:20,0.37,0.7
9. 01. 2019 01:30,0.36,0.7
9. 01. 2019 01:40,0.35,0.7
9. 01. 2019 01:50,0.35,0.8
9. 01. 2019 02:00,0.35,0.8
9. 01. 2019 02:10,0.34,0.9
9. 01. 2019 02:20,0.32,0.9
9. 01. 2019 02:30,0.36,0.9
9. 01. 2019 02:40,0.34,1
9. 01. 2019 02:50,0.34,1
9. 01. 2019 03:00,0.31,1.2
9. 01. 2019 03:10,0.34,1.1
9. 01. 2019 03:20,0.31,1
9. 01. 2019 03:30,0.3,0.9
9. 01. 2019 03:40,0.31,1
9. 01. 2019 03:50,0.29,1
9. 01. 2019 04:00,0.29,0.9
9. 01. 2019 04:10,0.3,0.4
9. 01. 2019 04:20,0.3,0
9. 01. 2019 04:30,0.26,-0.2
9. 01. 2019 04:40,0.29,-0.4
9. 01. 2019 04:50,0.35,-0.5
9. 01. 2019 05:00,0.36,-0.8
9. 01. 2019 05:10,0.36,-1.3
9. 01. 2019 05:20,0.32,-1.2
9. 01. 2019 05:30,0.3,-1.3
9. 01. 2019 05:40,0.32,-1.5
9. 01. 2019 05:50,0.34,-1.5
9. 01. 2019 06:00,0.42,-1.5
9. 01. 2019 06:10,0.46,-1.6
9. 01. 2019 06:20,0.37,-1.8
9. 01. 2019 06:30,0.34,-2.1
9. 01. 2019 06:40,0.35,-2.3
9. 01. 2019 06:50,0.39,-2.4
9. 01. 2019 07:00,0.4,-2.5
9. 01. 2019 07:10,0.34,-2.3
9. 01. 2019 07:20,0.38,-2.4
9. 01. 2019 07:30,0.35,-2.5
9. 01. 2019 07:40,0.39,-2.5
9. 01. 2019 07:50,0.41,-2.4
9. 01. 2019 08:00,0.36,-2.4
9. 01. 2019 08:10,0.38,-2.5
9. 01. 2019 08:20,0.4,-2.5
9. 01. 2019 08:30,0.39,-2.6
9. 01. 2019 08:40,0.41,-2.6
9. 01. 2019 08:50,0.4,-2.6
9. 01. 2019 09:00,0.34,-2.7
9. 01. 2019 09:10,0.36,-2.6
9. 01. 2019 09:20,0.39,-2.5
9. 01. 2019 09:30,0.41,-2.5
9. 01. 2019 09:40,0.38,-2.5
9. 01. 2019 09:50,0.36,-2.4
9. 01. 2019 10:00,0.38,-2.4
9. 01. 2019 10:10,0.37,-2.3
9. 01. 2019 10:20,0.35,-2.2
9. 01. 2019 10:30,0.28,-2.3
9. 01. 2019 10:40,0.35,-2.3
9. 01. 2019 10:50,0.38,-2.1
9. 01. 2019 11:00,0.45,-2
9. 01. 2019 11:10,0.37,-1.9
9. 01. 2019 11:20,0.34,-1.8
9. 01. 2019 11:30,0.29,-1.7
9. 01. 2019 11:40,0.32,-1.6
9. 01. 2019 11:50,0.33,-1.3
9. 01. 2019 12:00,0.33,-1.2
9. 01. 2019 12:10,0.27,-1
9. 01. 2019 12:20,0.27,-0.6
9. 01. 2019 12:30,0.29,-0.4
9. 01. 2019 12:40,0.3,-0.2
9. 01. 2019 12:50,0.32,-0.2
9. 01. 2019 13:00,0.35,-0.1
9. 01. 2019 13:10,0.3,0
9. 01. 2019 13:20,0.3,0
9. 01. 2019 13:30,0.29,0.1
9. 01. 2019 13:40,0.3,0.1
9. 01. 2019 13:50,0.33,0.3
9. 01. 2019 14:00,0.34,0.5
9. 01. 2019 14:10,0.31,0.6
9. 01. 2019 14:20,0.27,0.6
9. 01. 2019 14:30,0.23,0.5
9. 01. 2019 14:40,0.24,0.5
9. 01. 2019 14:50,0.24,0.5
9. 01. 2019 15:00,0.24,0.2
9. 01. 2019 15:10,0.24,0.3
9. 01. 2019 15:20,0.21,0.4
9. 01. 2019 15:30,0.18,0.6
9. 01. 2019 15:40,0.17,0.4
9. 01. 2019 15:50,0.1,0.2
9. 01. 2019 16:30,0.11,2
9. 01. 2019 16:40,0.15,1.9
9. 01. 2019 16:50,0.15,1.9
9. 01. 2019 17:00,0.14,1.7
9. 01. 2019 17:10,0.1,1.5
9. 01. 2019 17:40,0.13,1.9
9. 01. 2019 18:00,0.18,1.7
9. 01. 2019 18:10,0.18,1.6
9. 01. 2019 18:20,0.19,1.7
9. 01. 2019 18:30,0.14,1.6
9. 01. 2019 18:40,0.18,1.5
9. 01. 2019 18:50,0.18,1.4
9. 01. 2019 19:00,0.19,1.3
9. 01. 2019 19:10,0.19,1.3
9. 01. 2019 19:20,0.18,1.3
9. 01. 2019 19:30,0.19,1.1
9. 01. 2019 19:50,0.2,1.3
9. 01. 2019 20:00,0.17,1.3
9. 01. 2019 20:10,0.19,1.1
9. 01. 2019 20:20,0.2,1
9. 01. 2019 20:30,0.2,0.9
9. 01. 2019 20:40,0.2,0.9
9. 01. 2019 20:50,0.18,1
9. 01. 2019 21:00,0.19,0.9
9. 01. 2019 21:10,0.19,0.9
9. 01. 2019 21:20,0.19,0.9
9. 01. 2019 21:30,0.19,0.8
9. 01. 2019 21:40,0.2,0.7
9. 01. 2019 21:50,0.2,0.6
9. 01. 2019 22:00,0.21,0.5
9. 01. 2019 22:10,0.23,0.4
9. 01. 2019 22:30,0.24,0.3
9. 01. 2019 22:40,0.25,0.2
9. 01. 2019 22:50,0.28,-0.1
9. 01. 2019 23:00,0.28,0.1
9. 01. 2019 23:10,0.25,-0.1
9. 01. 2019 23:20,0.25,-0.4
9. 01. 2019 23:30,0.24,-0.6
9. 01. 2019 23:40,0.27,-0.5
9. 01. 2019 23:50,0.23,-0.6
10. 01. 2019 00:00,0.23,-1.9
10. 01. 2019 00:10,0.16,-1.4
10. 01. 2019 00:20,0.12,-0.9
10. 01. 2019 00:30,0.13,-0.5
10. 01. 2019 02:40,0.2,-0.9
10. 01. 2019 05:50,0.23,-1.9
10. 01. 2019 06:20,0.23,-2.3
10. 01. 2019 06:50,0.2,-2.3
10. 01. 2019 09:00,0.16,-1.2
10. 01. 2019 19:50,0.24,-0.4
10. 01. 2019 20:00,0.2,-0.5
10. 01. 2019 20:10,0.21,-0.7
10. 01. 2019 20:20,0.23,-0.6
10. 01. 2019 20:30,0.24,-0.7
10. 01. 2019 20:50,0.27,-0.8
10. 01. 2019 21:10,0.26,-0.9
10. 01. 2019 21:30,0.24,-0.9
10. 01. 2019 21:40,0.25,-1
10. 01. 2019 22:50,0.19,-1
10. 01. 2019 23:00,0.19,-1
10. 01. 2019 23:30,0.22,-1.1
10. 01. 2019 23:40,0.22,-1.2
10. 01. 2019 23:50,0.21,-1.2
11. 01. 2019 00:30,0.23,-1.3
11. 01. 2019 00:40,0.24,-1.5
11. 01. 2019 00:50,0.24,-1.4
11. 01. 2019 01:30,0.25,-1.6
11. 01. 2019 01:50,0.29,-1.8
11. 01. 2019 02:00,0.28,-2.1
11. 01. 2019 02:20,0.29,-2.3
11. 01. 2019 02:30,0.29,-2.7
11. 01. 2019 02:40,0.28,-3
11. 01. 2019 02:50,0.24,-3.2
11. 01. 2019 03:00,0.24,-3.2
11. 01. 2019 03:10,0.26,-3.1
11. 01. 2019 03:20,0.24,-2.7
11. 01. 2019 03:30,0.23,-2.8
11. 01. 2019 03:40,0.25,-2.8
11. 01. 2019 03:50,0.28,-2.7
11. 01. 2019 04:00,0.26,-3
11. 01. 2019 04:10,0.25,-2.8
11. 01. 2019 04:30,0.25,-2.7
11. 01. 2019 04:40,0.23,-2.8
11. 01. 2019 05:50,0.28,-3
11. 01. 2019 06:10,0.31,-3.1
11. 01. 2019 06:20,0.31,-3.1
11. 01. 2019 06:30,0.31,-3.2
11. 01. 2019 06:40,0.34,-3.2
11. 01. 2019 06:50,0.36,-3.3
11. 01. 2019 07:00,0.35,-3.3
11. 01. 2019 07:50,0.32,-3.6
11. 01. 2019 08:10,0.32,-3.6
11. 01. 2019 08:20,0.34,-3.6
11. 01. 2019 09:00,0.32,-2.7
11. 01. 2019 09:10,0.25,-2.5
11. 01. 2019 09:30,0.28,-2
11. 01. 2019 09:40,0.27,-1.8
11. 01. 2019 12:00,0.24,1.2
11. 01. 2019 14:00,0.26,1.3
11. 01. 2019 14:10,0.23,1.6
11. 01. 2019 14:30,0.24,1.4
11. 01. 2019 15:40,0.26,1.4
11. 01. 2019 15:50,0.26,1
11. 01. 2019 16:00,0.23,0.7
11. 01. 2019 16:10,0.24,0.4
11. 01. 2019 16:20,0.26,0
11. 01. 2019 16:30,0.26,-0.4
11. 01. 2019 16:40,0.26,-0.8
11. 01. 2019 16:50,0.28,-0.9
11. 01. 2019 17:00,0.28,-1.3
11. 01. 2019 17:10,0.28,-1.4
11. 01. 2019 17:20,0.3,-1.7
11. 01. 2019 17:30,0.3,-1.8
11. 01. 2019 17:40,0.31,-1.9
11. 01. 2019 17:50,0.3,-2
11. 01. 2019 18:00,0.29,-2.2
11. 01. 2019 18:10,0.28,-2.4
11. 01. 2019 18:20,0.26,-2.7
11. 01. 2019 18:30,0.27,-3.1
11. 01. 2019 18:40,0.24,-3.3
11. 01. 2019 18:50,0.22,-3.5
11. 01. 2019 19:00,0.24,-3.8
11. 01. 2019 19:10,0.23,-4
11. 01. 2019 19:20,0.27,-4.3
11. 01. 2019 19:30,0.24,-4.2
11. 01. 2019 19:40,0.23,-4.8
11. 01. 2019 19:50,0.2,-5.2
11. 01. 2019 20:00,0.27,-5.4
11. 01. 2019 20:10,0.33,-5.6
11. 01. 2019 20:20,0.25,-5.9
11. 01. 2019 20:30,0.2,-5.7
11. 01. 2019 20:40,0.2,-5.6
11. 01. 2019 20:50,0.36,-6.3
11. 01. 2019 21:00,0.27,-6.6
11. 01. 2019 21:10,0.29,-6.8
11. 01. 2019 21:20,0.32,-6.8
11. 01. 2019 21:30,0.29,-6.7
11. 01. 2019 21:40,0.28,-6.7
11. 01. 2019 21:50,0.3,-6.6
11. 01. 2019 22:00,0.32,-6.5
11. 01. 2019 22:10,0.32,-6.6
11. 01. 2019 22:20,0.34,-6.7
11. 01. 2019 22:30,0.38,-7
11. 01. 2019 22:40,0.33,-7.2
11. 01. 2019 22:50,0.36,-7.3
11. 01. 2019 23:00,0.38,-7.2
11. 01. 2019 23:10,0.43,-7
11. 01. 2019 23:20,0.44,-7
11. 01. 2019 23:30,0.42,-7.1
11. 01. 2019 23:40,0.4,-6.9
11. 01. 2019 23:50,0.37,-6.9
12. 01. 2019 00:00,0.38,-6.9
12. 01. 2019 00:10,0.4,-6.7
12. 01. 2019 00:20,0.4,-6.6
12. 01. 2019 00:30,0.43,-6.5
12. 01. 2019 00:40,0.43,-6.5
12. 01. 2019 00:50,0.43,-6.4
12. 01. 2019 01:00,0.44,-6.2
12. 01. 2019 01:10,0.43,-6.2
12. 01. 2019 01:20,0.41,-6
12. 01. 2019 01:30,0.42,-5.9
12. 01. 2019 01:40,0.44,-5.7
12. 01. 2019 01:50,0.42,-5.6
12. 01. 2019 02:00,0.4,-5.6
12. 01. 2019 02:10,0.42,-5.6
12. 01. 2019 02:20,0.43,-5.5
12. 01. 2019 02:30,0.43,-5.4
12. 01. 2019 02:40,0.43,-5.4
12. 01. 2019 02:50,0.42,-5.3
12. 01. 2019 03:00,0.4,-5.1
12. 01. 2019 03:10,0.41,-5.1
12. 01. 2019 03:20,0.43,-5
12. 01. 2019 03:30,0.42,-4.9
12. 01. 2019 03:40,0.39,-4.9
12. 01. 2019 03:50,0.4,-4.9
12. 01. 2019 04:00,0.37,-4.9
12. 01. 2019 04:10,0.36,-4.8
12. 01. 2019 04:20,0.34,-4.7
12. 01. 2019 04:30,0.38,-4.7
12. 01. 2019 04:40,0.4,-4.7
12. 01. 2019 04:50,0.39,-4.8
12. 01. 2019 05:00,0.39,-4.8
12. 01. 2019 05:10,0.38,-4.8
12. 01. 2019 05:20,0.39,-5.1
12. 01. 2019 05:30,0.38,-5.1
12. 01. 2019 05:40,0.4,-5.2
12. 01. 2019 05:50,0.39,-5.4
12. 01. 2019 06:00,0.37,-5.4
12. 01. 2019 06:10,0.4,-5.7
12. 01. 2019 06:20,0.4,-5.7
12. 01. 2019 06:30,0.34,-5.7
12. 01. 2019 06:40,0.44,-6.1
12. 01. 2019 06:50,0.41,-6.3
12. 01. 2019 07:00,0.4,-6.3
12. 01. 2019 07:10,0.38,-6.3
12. 01. 2019 07:20,0.39,-6.4
12. 01. 2019 07:30,0.4,-6.4
12. 01. 2019 07:40,0.39,-6.5
12. 01. 2019 07:50,0.37,-6.5
12. 01. 2019 08:00,0.4,-6.7
12. 01. 2019 08:10,0.39,-6.7
12. 01. 2019 08:20,0.4,-6.7
12. 01. 2019 08:30,0.39,-6.6
12. 01. 2019 08:40,0.39,-6.4
12. 01. 2019 08:50,0.41,-6.2
12. 01. 2019 09:00,0.4,-5.8
12. 01. 2019 09:10,0.41,-5.4
12. 01. 2019 09:20,0.42,-4.7
12. 01. 2019 09:30,0.41,-4.2
12. 01. 2019 09:40,0.4,-3.7
12. 01. 2019 09:50,0.4,-3.5
12. 01. 2019 10:00,0.39,-3.4
12. 01. 2019 10:10,0.39,-3.1
12. 01. 2019 10:20,0.37,-2.5
12. 01. 2019 10:30,0.38,-1.4
12. 01. 2019 10:40,0.36,-1.4
12. 01. 2019 10:50,0.35,-1.2
12. 01. 2019 11:00,0.32,-1.1
12. 01. 2019 11:10,0.35,-1
12. 01. 2019 11:20,0.35,-0.8
12. 01. 2019 11:30,0.34,-0.6
12. 01. 2019 11:40,0.36,0
12. 01. 2019 11:50,0.37,0.9
12. 01. 2019 12:00,0.34,1.4
12. 01. 2019 12:10,0.36,1.9
12. 01. 2019 12:20,0.35,2.7
12. 01. 2019 12:30,0.33,2.9
12. 01. 2019 12:40,0.33,3.1
12. 01. 2019 12:50,0.31,4.1
12. 01. 2019 13:00,0.3,5
12. 01. 2019 13:10,0.28,5.4
12. 01. 2019 13:20,0.24,5.7
12. 01. 2019 13:30,0.24,5.7
12. 01. 2019 13:40,0.24,6
12. 01. 2019 13:50,0.25,5.9
12. 01. 2019 14:00,0.23,5.6
12. 01. 2019 14:10,0.24,5.5
12. 01. 2019 14:20,0.25,5.6
12. 01. 2019 14:30,0.24,5.5
12. 01. 2019 14:40,0.24,5.2
12. 01. 2019 14:50,0.24,5.4
12. 01. 2019 15:00,0.24,5.5
12. 01. 2019 15:10,0.25,5.5
12. 01. 2019 15:20,0.22,5.3
12. 01. 2019 15:30,0.23,5.3
12. 01. 2019 15:40,0.24,5.1
12. 01. 2019 15:50,0.24,5.1
12. 01. 2019 16:00,0.22,4.9
12. 01. 2019 16:10,0.25,4.2
12. 01. 2019 16:20,0.25,3.7
12. 01. 2019 16:30,0.24,3.3
12. 01. 2019 16:40,0.26,3
12. 01. 2019 16:50,0.28,2.8
12. 01. 2019 17:00,0.28,2.5
12. 01. 2019 17:10,0.28,1.9
12. 01. 2019 17:20,0.25,1.3
12. 01. 2019 17:30,0.26,1.1
12. 01. 2019 17:40,0.24,1
12. 01. 2019 17:50,0.25,0.6
12. 01. 2019 18:00,0.24,0.2
12. 01. 2019 18:10,0.25,-0.2
12. 01. 2019 18:20,0.24,-0.7
12. 01. 2019 18:30,0.29,-0.9
12. 01. 2019 18:40,0.31,-1.1
12. 01. 2019 18:50,0.31,-1.4
12. 01. 2019 19:00,0.34,-1.8
12. 01. 2019 19:10,0.34,-2.1
12. 01. 2019 19:20,0.34,-1.7
12. 01. 2019 19:30,0.31,-1.5
12. 01. 2019 19:40,0.26,-1.7
12. 01. 2019 19:50,0.26,-2
12. 01. 2019 20:00,0.27,-2
12. 01. 2019 20:10,0.3,-1.9
12. 01. 2019 20:20,0.29,-2.2
12. 01. 2019 20:30,0.32,-2.5
12. 01. 2019 20:40,0.34,-2.6
12. 01. 2019 20:50,0.32,-2.8
12. 01. 2019 21:00,0.33,-3
12. 01. 2019 21:10,0.35,-3
12. 01. 2019 21:20,0.34,-2.9
12. 01. 2019 21:30,0.35,-3
12. 01. 2019 21:40,0.32,-3.1
12. 01. 2019 21:50,0.31,-2.9
12. 01. 2019 22:00,0.31,-2.7
12. 01. 2019 22:10,0.3,-2.6
12. 01. 2019 22:20,0.31,-2.7
12. 01. 2019 22:30,0.32,-2.9
12. 01. 2019 22:40,0.34,-2.8
12. 01. 2019 22:50,0.32,-2.7
12. 01. 2019 23:00,0.36,-3.1
12. 01. 2019 23:10,0.36,-3
12. 01. 2019 23:20,0.32,-2.9
12. 01. 2019 23:30,0.33,-3.2
12. 01. 2019 23:40,0.36,-3.1
12. 01. 2019 23:50,0.37,-2.6
13. 01. 2019 00:00,0.35,-2.3
13. 01. 2019 00:10,0.33,-2.3
13. 01. 2019 00:20,0.3,-2.5
13. 01. 2019 00:30,0.36,-2.5
13. 01. 2019 00:40,0.35,-2.6
13. 01. 2019 00:50,0.38,-2.3
13. 01. 2019 01:00,0.31,-2.2
13. 01. 2019 01:10,0.38,-2
13. 01. 2019 01:20,0.31,-2.1
13. 01. 2019 01:30,0.3,-2.2
13. 01. 2019 01:40,0.35,-1.9
13. 01. 2019 01:50,0.3,-1.2
13. 01. 2019 02:20,0.33,-0.1
13. 01. 2019 02:30,0.36,-0.3
13. 01. 2019 02:40,0.33,-0.7
13. 01. 2019 02:50,0.31,-0.7
13. 01. 2019 03:00,0.3,-0.3
13. 01. 2019 03:10,0.36,-0.4
13. 01. 2019 03:20,0.33,-0.4
13. 01. 2019 03:30,0.26,-0.5
13. 01. 2019 03:40,0.26,-0.2
13. 01. 2019 03:50,0.28,-0.1
13. 01. 2019 04:00,0.28,-0.7
13. 01. 2019 04:10,0.25,-1.1
13. 01. 2019 04:20,0.3,-1
13. 01. 2019 04:30,0.25,-1.2
13. 01. 2019 04:40,0.28,-1.3
13. 01. 2019 04:50,0.29,-1.1
13. 01. 2019 05:00,0.34,-1.2
13. 01. 2019 05:10,0.35,-1.4
13. 01. 2019 05:20,0.31,-1.8
13. 01. 2019 05:30,0.38,-1.5
13. 01. 2019 05:40,0.3,-1.4
13. 01. 2019 05:50,0.31,-1.8
13. 01. 2019 06:00,0.32,-2
13. 01. 2019 06:10,0.33,-2.1
13. 01. 2019 06:20,0.34,-2.2
13. 01. 2019 06:30,0.32,-2.4
13. 01. 2019 06:40,0.32,-2.6
13. 01. 2019 06:50,0.36,-2.8
13. 01. 2019 07:00,0.32,-3
13. 01. 2019 07:10,0.36,-3.7
13. 01. 2019 07:20,0.35,-3.8
13. 01. 2019 07:30,0.33,-3.8
13. 01. 2019 07:40,0.3,-3.8
13. 01. 2019 07:50,0.29,-4
13. 01. 2019 08:00,0.35,-4.1
13. 01. 2019 08:10,0.34,-4.2
13. 01. 2019 08:20,0.34,-4.1
13. 01. 2019 08:30,0.28,-3.6
13. 01. 2019 08:40,0.3,-3.3
13. 01. 2019 08:50,0.34,-3.7
13. 01. 2019 09:00,0.37,-3.4
13. 01. 2019 09:10,0.39,-2.2
13. 01. 2019 09:20,0.35,-1.6
13. 01. 2019 09:30,0.33,-1.3
13. 01. 2019 09:40,0.36,-0.3
13. 01. 2019 09:50,0.38,0.3
13. 01. 2019 10:00,0.36,0.9
13. 01. 2019 10:10,0.34,1.8
13. 01. 2019 10:20,0.3,2.1
13. 01. 2019 10:30,0.31,1.8
13. 01. 2019 10:40,0.32,2.5
13. 01. 2019 10:50,0.31,3.5
13. 01. 2019 11:00,0.31,4.3
13. 01. 2019 11:10,0.28,4.7
13. 01. 2019 11:20,0.27,5
13. 01. 2019 11:30,0.24,5.5
13. 01. 2019 11:40,0.25,5.6
13. 01. 2019 11:50,0.27,5.7
13. 01. 2019 12:00,0.23,6
13. 01. 2019 12:10,0.25,6.2
13. 01. 2019 12:20,0.22,6.4
13. 01. 2019 12:30,0.26,6.3
13. 01. 2019 12:40,0.28,6.6
13. 01. 2019 13:20,0.29,7.4
13. 01. 2019 15:40,0.35,5.2
13. 01. 2019 15:50,0.36,5.1
13. 01. 2019 16:00,0.33,5.1
13. 01. 2019 16:10,0.33,4.9
13. 01. 2019 16:40,0.39,4.3
13. 01. 2019 16:50,0.38,4.1
13. 01. 2019 17:00,0.36,3.9
13. 01. 2019 17:10,0.39,3.8
13. 01. 2019 17:20,0.4,3.7
13. 01. 2019 17:40,0.36,3.5
13. 01. 2019 17:50,0.36,3.4
13. 01. 2019 18:00,0.34,3.3
13. 01. 2019 18:10,0.31,3.3
13. 01. 2019 18:20,0.35,3
13. 01. 2019 18:30,0.32,2.7
13. 01. 2019 18:40,0.29,2.4
13. 01. 2019 18:50,0.33,2.2
13. 01. 2019 19:00,0.34,2.4
13. 01. 2019 19:10,0.4,2.3
13. 01. 2019 19:20,0.42,2.7
13. 01. 2019 19:30,0.42,2.9
13. 01. 2019 20:50,0.46,3.3
13. 01. 2019 21:50,0.44,3.2
13. 01. 2019 22:00,0.46,3
14. 01. 2019 01:50,0.44,3
14. 01. 2019 02:20,0.41,3.2
14. 01. 2019 03:00,0.36,2.8
14. 01. 2019 03:10,0.35,2.9
14. 01. 2019 03:20,0.38,3.1
14. 01. 2019 03:30,0.36,3.3
14. 01. 2019 04:00,0.35,3.4
14. 01. 2019 04:10,0.26,3.4
14. 01. 2019 04:20,0.3,3.4
14. 01. 2019 04:30,0.27,3.5
14. 01. 2019 04:40,0.26,3.8
14. 01. 2019 04:50,0.28,3.9
14. 01. 2019 05:00,0.25,3.9
14. 01. 2019 05:10,0.22,3.9
14. 01. 2019 05:20,0.22,3.9
14. 01. 2019 05:30,0.21,3.9
14. 01. 2019 05:40,0.18,3.8
14. 01. 2019 05:50,0.22,3.5
14. 01. 2019 06:00,0.21,3.4
14. 01. 2019 06:10,0.15,3.5
14. 01. 2019 06:20,0.21,3.6
14. 01. 2019 06:30,0.22,3.6
14. 01. 2019 06:40,0.17,3.6
14. 01. 2019 06:50,0.14,3.5
14. 01. 2019 07:00,0.17,3.4
14. 01. 2019 07:10,0.14,3.5
14. 01. 2019 07:20,0.11,3.5
14. 01. 2019 07:30,0.16,3.5
14. 01. 2019 07:40,0.15,3.7
14. 01. 2019 07:50,0.25,3.8
14. 01. 2019 08:00,0.23,3.8
14. 01. 2019 08:10,0.22,3.8
14. 01. 2019 08:20,0.2,3.6
14. 01. 2019 08:30,0.22,3.6
14. 01. 2019 08:40,0.08,3.5
14. 01. 2019 08:50,0.12,3.6
14. 01. 2019 09:00,0.11,3.5
14. 01. 2019 09:10,0.23,3.4
14. 01. 2019 09:20,0.25,3.3
14. 01. 2019 09:30,0.23,3.4
14. 01. 2019 09:40,0.26,3.4
14. 01. 2019 09:50,0.28,3.5
14. 01. 2019 10:00,0.24,3.9
14. 01. 2019 10:10,0.2,4.4
14. 01. 2019 10:20,0.24,5.3
14. 01. 2019 10:30,0.17,6.2
14. 01. 2019 10:40,0.21,6.3
14. 01. 2019 10:50,0.15,6.4
14. 01. 2019 11:00,0.16,6.7
14. 01. 2019 11:10,0.2,7.1
14. 01. 2019 11:20,0.2,7.6
14. 01. 2019 11:30,0.17,7.8
14. 01. 2019 11:40,0.12,7.4
14. 01. 2019 11:50,0.18,7.7
14. 01. 2019 12:00,0.17,8.4
14. 01. 2019 12:10,0.21,9
14. 01. 2019 12:20,0.18,8.8
14. 01. 2019 12:30,0.18,9
14. 01. 2019 12:40,0.18,9.3
14. 01. 2019 12:50,0.13,9.5
14. 01. 2019 13:00,0.16,9.6
14. 01. 2019 13:10,0.14,9.9
14. 01. 2019 13:20,0.13,9.7
14. 01. 2019 13:30,0.12,10.1
14. 01. 2019 13:40,0.15,9.8
14. 01. 2019 13:50,0.12,10
14. 01. 2019 14:00,0.17,10
14. 01. 2019 14:10,0.17,9.9
14. 01. 2019 14:20,0.16,9.8
14. 01. 2019 14:30,0.17,10
14. 01. 2019 14:40,0.15,9.8
14. 01. 2019 14:50,0.14,10
14. 01. 2019 16:20,0.19,6.3
14. 01. 2019 16:30,0.18,5.9
14. 01. 2019 16:40,0.18,5.5
14. 01. 2019 16:50,0.09,5.4
14. 01. 2019 17:00,0.15,5.4
14. 01. 2019 17:10,0.2,5.2
14. 01. 2019 17:20,0.18,5.3
14. 01. 2019 17:30,0.2,5.1
14. 01. 2019 17:40,0.21,5.2
14. 01. 2019 17:50,0.17,4.6
14. 01. 2019 18:00,0.15,3.8
14. 01. 2019 18:10,0.21,3.7
14. 01. 2019 18:20,0.25,3.9
14. 01. 2019 18:30,0.17,3.7
14. 01. 2019 18:40,-0.04,3.2
14. 01. 2019 18:50,0.12,2.4
14. 01. 2019 19:00,-0.05,2.5
14. 01. 2019 19:10,0.1,2.4
14. 01. 2019 19:20,0.03,2.4
14. 01. 2019 19:30,-0.37,2.6
14. 01. 2019 20:10,0.3,2
14. 01. 2019 20:20,0.31,2.2
14. 01. 2019 20:30,0.19,2
14. 01. 2019 20:40,0.04,1.5
14. 01. 2019 20:50,0.16,1.1
14. 01. 2019 21:00,0.25,1
14. 01. 2019 21:10,0.28,0.9
14. 01. 2019 21:20,0.21,0.9
14. 01. 2019 21:30,0.2,0.6
14. 01. 2019 21:40,0.17,0.4
14. 01. 2019 21:50,0.14,-0.2
14. 01. 2019 22:00,0.18,-0.4
14. 01. 2019 22:10,0.19,-0.5
14. 01. 2019 22:20,0.14,-0.4
14. 01. 2019 22:30,0.19,0
14. 01. 2019 22:40,0.19,-0.1
14. 01. 2019 22:50,0.21,0.7
14. 01. 2019 23:10,0.3,0.7
14. 01. 2019 23:20,0.34,0.6
14. 01. 2019 23:30,0.29,0.7
